(24, 2)
(27, 2)
(65, 2)
(68, 2)
(83, 1)
(93, 2)
(106, 2)
(111, 2)
(118, 2)
(153, 2)
(195, 2)
(238, 1)
(245, 1)
(252, 1)
(287, 1)
(299, 1)
(329, 2)
(339, 2)
(358, 1)
(383, 2)
(439, 2)
(451, 2)
(468, 2)
(473, 2)
(504, 2)
(513, 2)
(577, 2)
(604, 1)
(608, 2)
(614, 1)
(625, 2)
(635, 1)
(650, 2)
(687, 1)
(691, 1)
(699, 1)
(723, 1)
(742, 1)
(747, 1)
(781, 2)
(817, 1)
(872, 1)
(877, 2)
(882, 2)
(895, 2)
(900, 2)
(946, 1)
(971, 2)
(974, 2)
(985, 2)
(1024, 1)
(1038, 1)
(1045, 2)
(1052, 2)
(1077, 1)
(1089, 1)
(1103, 1)
(1121, 2)
(1145, 1)
(1179, 2)
(1217, 2)
(1239, 2)
(1245, 2)
(1260, 1)
(1275, 1)
(1280, 1)
(1283, 1)
(1296, 1)
(1318, 2)
(1329, 2)
(1331, 2)
(1348, 2)
(1358, 2)
(1374, 1)
(1409, 2)
(1416, 2)
(1441, 2)
(1473, 2)
(1512, 2)
(1528, 2)
(1534, 2)
(1538, 2)
(1546, 1)
(1555, 2)
(1565, 2)
(1578, 2)
(1607, 2)
(1614, 2)
(1653, 2)
(1663, 2)
(1701, 2)
(1737, 1)
(1743, 1)
(1766, 2)
(1775, 1)
(1783, 2)
(1795, 2)
(1844, 2)
(1901, 2)
(1944, 1)
(1949, 1)
(1956, 1)
(1972, 1)
(2011, 1)
